auroc,auprc,f1,brier,ece,n,prevalence,method,test_site,seed
0.7720652746095806,0.7418963351499758,0.7083333333333334,0.2560207324290594,0.2561789103592749,303,0.45874587458745875,ERM,cleveland,0
0.7384409545534304,0.707311473068531,0.6666666666666666,0.29435011777274445,0.28604616937998906,303,0.45874587458745875,IRM,cleveland,0
0.7104755220214073,0.7019705406892048,0.6415094339622641,0.29106638879635394,0.26475910423486826,303,0.45874587458745875,CISD (ours),cleveland,0
0.7311151079136691,0.6850703602381073,0.657243816254417,0.29236874945342234,0.29462570845491876,303,0.45874587458745875,ERM,cleveland,1
0.6855150026320407,0.6462500324817012,0.6229508196721311,0.34015747115877093,0.33491720585835427,303,0.45874587458745875,IRM,cleveland,1
0.7349096332689946,0.7088124075652968,0.6555183946488295,0.24410851898479233,0.18274377675810322,303,0.45874587458745875,CISD (ours),cleveland,1
0.7671082646078259,0.7199922627576641,0.6915254237288135,0.28135029693407315,0.2785889979432422,303,0.45874587458745875,ERM,cleveland,2
0.7193367257413581,0.6921271798395704,0.5962264150943396,0.3057117547675893,0.3021278107645128,303,0.45874587458745875,IRM,cleveland,2
0.7714949991226531,0.7277965556075958,0.710691823899371,0.23794627454668296,0.19311689013197275,303,0.45874587458745875,CISD (ours),cleveland,2
0.7369713984909634,0.6978402028622275,0.6254545454545454,0.3006918964934983,0.2969354233019517,303,0.45874587458745875,ERM,cleveland,3
0.6974688541849448,0.6561485628723608,0.6131386861313869,0.32192916524761317,0.3143362621254848,303,0.45874587458745875,IRM,cleveland,3
0.7721968766450255,0.7654086207431074,0.6987179487179487,0.2464725459687841,0.2247834177645428,303,0.45874587458745875,CISD (ours),cleveland,3
0.6971398490963326,0.682151279428786,0.6217228464419475,0.3139999844898086,0.30286367909570433,303,0.45874587458745875,ERM,cleveland,4
0.7048824355150026,0.6618063764330386,0.6099290780141844,0.33893331829063506,0.33576160484179995,303,0.45874587458745875,IRM,cleveland,4
0.7930338655904544,0.7533126867500874,0.7171052631578947,0.22344349978391975,0.18560098882073195,303,0.45874587458745875,CISD (ours),cleveland,4
0.7253613006824569,0.616690690070452,0.5757575757575758,0.33089403338858325,0.34119298014602173,294,0.36054421768707484,ERM,hungarian,0
0.7221497390606182,0.6404048612870854,0.6234817813765182,0.2978835240831707,0.28342580089355235,294,0.36054421768707484,IRM,hungarian,0
0.8578883982336412,0.7527495704600913,0.7520661157024794,0.16568993961036801,0.1511163653261088,294,0.36054421768707484,CISD (ours),hungarian,0
0.70629265355279,0.5363119111700978,0.5872340425531913,0.313308044763972,0.3116335315896712,294,0.36054421768707484,ERM,hungarian,1
0.790646326776395,0.6357647948942283,0.6480000000000001,0.2563077781451209,0.2494743285739619,294,0.36054421768707484,IRM,hungarian,1
0.8175431553592934,0.7059318859561398,0.7165354330708662,0.20518662651135647,0.2138866516174585,294,0.36054421768707484,CISD (ours),hungarian,1
0.7820152549177037,0.6611800161717832,0.6416666666666667,0.27228704262587,0.26886836817457865,294,0.36054421768707484,ERM,hungarian,2
0.7228522681653954,0.5432232019458052,0.5739910313901345,0.29491911330485593,0.28659884130680036,294,0.36054421768707484,IRM,hungarian,2
0.8357085507828181,0.6904532611244537,0.711864406779661,0.18463659213459518,0.1541619542986844,294,0.36054421768707484,CISD (ours),hungarian,2
0.7381573665194701,0.6402986855863838,0.6015625,0.31313953235142433,0.3077838173064107,294,0.36054421768707484,ERM,hungarian,3
0.7679646728221597,0.6139238211567568,0.6576576576576576,0.23976133425346788,0.23403660718035393,294,0.36054421768707484,IRM,hungarian,3
0.7861300682456844,0.6617117989681945,0.6456692913385828,0.2502073291650877,0.2298467064745941,294,0.36054421768707484,CISD (ours),hungarian,3
0.8040194700923324,0.7034397500429748,0.648888888888889,0.2254562141183413,0.21977240119800145,294,0.36054421768707484,ERM,hungarian,4
0.7075471698113207,0.5976555299154376,0.5689655172413793,0.3056954433494525,0.2994848465070601,294,0.36054421768707484,IRM,hungarian,4
0.755921316740265,0.6618615117724258,0.6451612903225806,0.2207023862625034,0.20807538005271908,294,0.36054421768707484,CISD (ours),hungarian,4
0.5945652173913043,0.9436034579929459,0.7103825136612021,0.38097918547792403,0.4150271663285385,123,0.9349593495934959,ERM,switzerland,0
0.6652173913043479,0.9549163175022649,0.7419354838709676,0.351463588140511,0.36977803095533224,123,0.9349593495934959,IRM,switzerland,0
0.5826086956521739,0.9536616724567692,0.7379679144385026,0.31780064875894254,0.36963781121375505,123,0.9349593495934959,CISD (ours),switzerland,0
0.6043478260869565,0.9478799064814171,0.8140703517587939,0.29130676617483287,0.30902440965093386,123,0.9349593495934959,ERM,switzerland,1
0.6380434782608696,0.9653798421435442,0.7539267015706806,0.3586273499392835,0.36417757044456545,123,0.9349593495934959,IRM,switzerland,1
0.6130434782608696,0.9564878815260747,0.6994535519125682,0.32536779110657515,0.384579528347903,123,0.9349593495934959,CISD (ours),switzerland,1
0.5108695652173914,0.9372612608712635,0.6629213483146068,0.44836247580198985,0.47523024383717927,123,0.9349593495934959,ERM,switzerland,2
0.7217391304347827,0.977566234480072,0.7526881720430109,0.3384453378964733,0.3660265023950993,123,0.9349593495934959,IRM,switzerland,2
0.5445652173913044,0.9510317215547999,0.7368421052631579,0.30205334969400416,0.3673534719124063,123,0.9349593495934959,CISD (ours),switzerland,2
0.5413043478260869,0.9450824089575601,0.7918781725888323,0.305649640109258,0.3212016845155867,123,0.9349593495934959,ERM,switzerland,3
0.5239130434782608,0.9538878287059231,0.7461139896373057,0.37107851143868187,0.3887037700221336,123,0.9349593495934959,IRM,switzerland,3
0.5380434782608695,0.9307904222688286,0.7204301075268817,0.3113757828442167,0.42158279559824813,123,0.9349593495934959,CISD (ours),switzerland,3
0.6195652173913043,0.9589279881875216,0.7473684210526316,0.36249835045478696,0.36690190815590457,123,0.9349593495934959,ERM,switzerland,4
0.7271739130434782,0.9733314314621612,0.7578947368421053,0.3155529942275648,0.3414713945763333,123,0.9349593495934959,IRM,switzerland,4
0.6663043478260869,0.9641277151293367,0.6473988439306358,0.4034289442477904,0.4782716254494798,123,0.9349593495934959,CISD (ours),switzerland,4
0.6370575075667851,0.8268112782224502,0.7781569965870307,0.2994157005553252,0.29864797880496624,200,0.745,ERM,va,0
0.601263324121595,0.8037772727650786,0.7651006711409396,0.3100625321298519,0.3147171181270333,200,0.745,IRM,va,0
0.73917620739571,0.8893337675242975,0.8299319727891157,0.20331745122665873,0.1541448955948354,200,0.745,CISD (ours),va,0
0.5723121463350441,0.7797503972218921,0.7517241379310345,0.33293360383126647,0.33880562037879536,200,0.745,ERM,va,1
0.6211343597841821,0.7971850260132433,0.7586206896551725,0.2999542957075949,0.3069236205765628,200,0.745,IRM,va,1
0.6099486774575602,0.8262742346937332,0.8129032258064516,0.2332658702304645,0.21259760471579472,200,0.745,CISD (ours),va,1
0.6098170811948941,0.8114504314842892,0.7534246575342467,0.31902277619656866,0.3174534197542388,200,0.745,ERM,va,2
0.6249506514015002,0.8060375846063496,0.7959866220735786,0.2844259139692075,0.2805662663751486,200,0.745,IRM,va,2
0.6677194367679958,0.8410331999263514,0.8172757475083058,0.20950384248915135,0.20203389795933485,200,0.745,CISD (ours),va,2
0.584419002500329,0.7941956734739928,0.7576791808873721,0.32440756341573085,0.32773773092866076,200,0.745,ERM,va,3
0.5503355704697986,0.772754179384305,0.7866666666666666,0.30322061475485684,0.2956308300901619,200,0.745,IRM,va,3
0.6208711672588498,0.8087033627752336,0.8,0.24771395546148092,0.21822637512858534,200,0.745,CISD (ours),va,3
0.6410711935781024,0.8121846900822182,0.7916666666666666,0.2706765065894252,0.280166361002504,200,0.745,ERM,va,4
0.6085011185682326,0.8062390573807982,0.7724137931034483,0.3133586756948899,0.3190375629480803,200,0.745,IRM,va,4
0.6611396236346888,0.8493323191162733,0.8079470198675497,0.23092382734951397,0.20176036604610081,200,0.745,CISD (ours),va,4
