,,auroc,auroc,brier,brier
,,mean,std,mean,std
method,missing_modality,,,,
CISD (ours),clinical,0.6911172850838172,0.08613108109713397,0.27322761225000136,0.06896785816847968
CISD (ours),demographic,0.7011404301769665,0.08122682457591414,0.2950073315449181,0.09534437484214123
CISD (ours),exercise,0.6355647275332867,0.10968316219911287,0.3172631006832821,0.07736111846257594
ERM,clinical,0.6879241373941349,0.0880747942801843,0.3545719812205149,0.10461205521968549
ERM,demographic,0.6698441324378238,0.06672913696751478,0.3453520244946953,0.07248785534817331
ERM,exercise,0.5885612075464938,0.07897386786220197,0.352846656431128,0.030882959281534776
