auroc,auprc,f1,brier,ece,n,prevalence,variant,test_site,seed
0.792402649538338,0.6274112825442802,0.6495726495726496,0.22516445371476815,0.19885649631053326,294,0.36054421768707484,CISD-no_env_aux,hungarian,1
0.8357085507828181,0.6904532611244537,0.711864406779661,0.18463659213459518,0.1541619542986844,294,0.36054421768707484,CISD-full,hungarian,2
0.7678643115214773,0.6726104883753283,0.6359832635983262,0.2554812722344473,0.2517651543027961,294,0.36054421768707484,CISD-no_adv,hungarian,2
0.8228623042954637,0.6972019849806799,0.694560669456067,0.20408873389067148,0.19328953552375727,294,0.36054421768707484,CISD-no_orth,hungarian,2
0.8189482135688478,0.6939025751893024,0.62882096069869,0.21402303006533335,0.19969844576423434,294,0.36054421768707484,CISD-no_env_aux,hungarian,2
0.7861300682456844,0.6617117989681945,0.6456692913385828,0.2502073291650877,0.2298467064745941,294,0.36054421768707484,CISD-full,hungarian,3
0.766910879164994,0.6695885184606534,0.6265060240963854,0.26759130077022336,0.24738350927531247,294,0.36054421768707484,CISD-no_adv,hungarian,3
0.7810116419108791,0.6420190312835733,0.6639676113360323,0.2384434039092153,0.2194201110436067,294,0.36054421768707484,CISD-no_orth,hungarian,3
0.7882878362103573,0.7048396202307259,0.6403162055335969,0.24001645147122574,0.23750801823541307,294,0.36054421768707484,CISD-no_env_aux,hungarian,3
0.755921316740265,0.6618615117724258,0.6451612903225806,0.2207023862625034,0.20807538005271908,294,0.36054421768707484,CISD-full,hungarian,4
0.7932557205941388,0.6632513234937053,0.6887966804979253,0.21338701676877278,0.1870740942143071,294,0.36054421768707484,CISD-no_adv,hungarian,4
0.8384684865515857,0.7140775896492056,0.706896551724138,0.17808062431355473,0.1261241090845786,294,0.36054421768707484,CISD-no_orth,hungarian,4
0.7812123645122441,0.6742226276601859,0.6695278969957082,0.22796318765525192,0.20512678669238746,294,0.36054421768707484,CISD-no_env_aux,hungarian,4
0.5826086956521739,0.9536616724567692,0.7379679144385026,0.31780064875894254,0.36963781121375505,123,0.9349593495934959,CISD-full,switzerland,0
0.6815217391304348,0.9687208882410554,0.6815642458100558,0.3485993772466429,0.39974079295084824,123,0.9349593495934959,CISD-no_adv,switzerland,0
0.6108695652173913,0.9498665787832585,0.7446808510638298,0.30021686572496525,0.39237167349839563,123,0.9349593495934959,CISD-no_orth,switzerland,0
0.6739130434782609,0.9572645813505778,0.7684210526315789,0.30166384161426696,0.37528572265721627,123,0.9349593495934959,CISD-no_env_aux,switzerland,0
0.6130434782608696,0.9564878815260747,0.6994535519125682,0.32536779110657515,0.384579528347903,123,0.9349593495934959,CISD-full,switzerland,1
0.6054347826086957,0.9604938587187082,0.7135135135135136,0.36909055396378493,0.4207705980337277,123,0.9349593495934959,CISD-no_adv,switzerland,1
0.7891304347826087,0.9825339643879991,0.8415841584158417,0.21631655298605526,0.2664712078308007,123,0.9349593495934959,CISD-no_orth,switzerland,1
0.6010869565217392,0.9522825648608043,0.7643979057591622,0.2956886107836069,0.36235968933532436,123,0.9349593495934959,CISD-no_env_aux,switzerland,1
0.5445652173913044,0.9510317215547999,0.7368421052631579,0.30205334969400416,0.3673534719124063,123,0.9349593495934959,CISD-full,switzerland,2
0.4315217391304348,0.908029805978328,0.7027027027027025,0.399107096724057,0.43212963759759826,123,0.9349593495934959,CISD-no_adv,switzerland,2
0.725,0.9662304152489618,0.8061224489795918,0.21608088941343048,0.2981973013631149,123,0.9349593495934959,CISD-no_orth,switzerland,2
